feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature 12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,Fearure_20,feature_20,class
0.321469115,0.165209434,-0.255260883,-0.054508944,0.236797489,-0.056232808,-0.0115928,0.038991018,-0.108527843,-0.349261885,1.276263988,-0.212719917,0.417027726,-0.354093081,0.907324584,-0.724062388,-0.784678171,-0.269174729,0.126621211,-0.641348311,B,Z,0
0.043830066,0.446260029,0.071690724,,0.265055218,-0.017340227,0.267865318,0.112957821,-0.820328461,0.967931949,0.343597535,-1.31474886,-0.353371591,0.708417041,-0.947417184,-0.151630389,-0.422519256,-0.427154825,-1.190995637,-0.918244419,B,Y,1
0.036671984,0.081730562,-0.195944245,0.136044072,-0.05496906,-0.29983624,0.388705776,-0.118540565,0.309046835,0.122490925,0.292265456,0.148760733,0.49592685,-0.46558263,-0.467002751,0.504647478,-0.527922319,0.855404272,0.003273983,-0.393830796,C,X,1
0.864451006,0.737556161,1.066521502,1.254514033,0.850966446,1.225470018,0.718216179,0.719985753,0.614961232,2.148706294,-1.232589064,-0.133390322,0.955875062,0.113513283,0.08219938,0.492226423,0.446436391,0.914370227,0.109811698,1.133591066,C,Z,1
0.048150636,-0.013435658,-0.025530936,0.229934404,0.340918419,-0.219681844,-0.2126709,-0.17714276,-0.625773044,0.915653804,-1.812727965,0.549126676,-0.56226084,-0.046922808,-0.124361712,0.076927114,0.616519567,-0.383864571,0.31896598,-0.032655356,B,Z,0
0.112781824,-0.251515572,0.031610698,-0.049276681,-0.030122803,-0.030799533,-0.022762508,0.144534965,-0.998936376,0.116661751,0.963226534,-0.085863901,-0.853671477,0.26000219,-0.247824376,-0.370785629,-0.589470701,0.230479321,-0.558145085,-0.408450626,C,Y,0
-0.087946212,0.029358602,-0.127111568,0.084038309,-0.382812014,0.28838848,-0.286746005,-0.035604658,0.330783807,-0.701957298,0.226304208,-1.251227915,-0.15154636,0.027726668,0.341809156,0.873529572,0.604543199,0.563962493,0.097314289,1.196149192,D,Y,0
0.961268108,1.109452959,0.824645244,1.211562836,1.145703729,1.176457299,1.480967508,1.11692459,-1.019801334,0.000223948,0.094069841,0.117517619,0.263446293,0.358843979,1.342935076,-0.121310072,1.411196416,0.909087763,-0.098926873,0.362018452,B,Y,1
1.252516821,0.616065369,0.680480166,1.000265138,0.923108624,1.264199158,1.161714201,0.855302676,0.268850786,-0.773780579,1.207503195,0.936153594,0.201506484,-0.475871305,0.555847065,1.40865541,0.534375028,0.278036753,0.498828298,0.601260441,A,Z,1
1.06035838,0.887045199,1.293308172,0.988521859,1.093795616,0.836421632,0.803842398,1.235768689,0.746023953,0.903520684,-1.483979059,0.167691535,1.019193019,0.494205108,0.495458603,0.028518314,0.569912636,1.284620591,0.783490132,0.529238534,A,Y,1
